sid_x,"S1.W1
Monday (03-10-2022)
09:00 - 10:00
Lecture
U020
","S1.W1
Wednesday (05-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
12:00 - 13:00
Tutorial

","S1.W2
Thursday (13-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W3
Wednesday (19-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W3
Wednesday (19-10-2022)
12:00 - 13:00
Tutorial

","S1.W3
Thursday (20-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W4
Wednesday (26-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W4
Wednesday (26-10-2022)
12:00 - 13:00
Tutorial

","S1.W4
Thursday (27-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W5
Wednesday (02-11-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W5
Wednesday (02-11-2022)
12:00 - 13:00
Tutorial

","S1.W5
Thursday (03-11-2022)
14:00 - 15:00
Lecture
CC011
"
71,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,X,,GPS
72,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
73,GPS,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
74,,,,,,,,,,,,,,
75,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
76,,,,,,,,,,,,,,
77,GPS,GPS,Ex,,GPS,GPS,,GPS,X,,GPS,X,,GPS
78,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
79,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
80,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
81,X,X,Ex,Ex,Ex,X,,GPS,GPS,,GPS,GPS,,X
82,X,X,GPS,,GPS,X,,X,GPS,,X,X,,X
83,GPS,GPS,GPS,,GPS,X,,GPS,X,,GPS,X,,GPS
84,GPS,X,GPS,,GPS,GPS,,GPS,X,,GPS,X,,GPS
85,X,GPS,GPS,,GPS,X,,GPS,X,,GPS,GPS,,GPS
86,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
87,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,X
88,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
89,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,X,GPS,,X
90,GPS,X,X,,GPS,X,,GPS,X,,GPS,GPS,,GPS
91,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
92,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
93,X,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,GPS,,GPS
95,X,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,X,,GPS
96,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
97,GPS,GPS,X,,X,X,,GPS,X,,GPS,X,,GPS
98,GPS,X,GPS,,GPS,GPS,,GPS,X,,GPS,X,,GPS
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,GPS,X,X,,GPS,X,,X,X,,GPS,X,,X
102,,,,,,,,,,,,,,
103,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
104,X,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,GPS,,GPS
105,,,,,,,,,,,,,,
106,Ex,Ex,Ex,Ex,Ex,GPS,,GPS,GPS,,GPS,GPS,,GPS
107,Ex,Ex,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
108,GPS,X,GPS,,X,X,,X,X,,GPS,X,,GPS
109,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
110,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,X,,GPS
111,X,X,GPS,,GPS,X,,X,X,,X,X,,X
112,X,GPS,GPS,,GPS,X,,GPS,X,,GPS,X,,GPS
113,,,,,,,,,,,,,,
114,X,Ex,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,X
115,X,GPS,GPS,,GPS,GPS,,GPS,X,,GPS,GPS,,GPS
116,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,X
117,X,X,X,,X,X,,X,X,,X,X,,X
118,X,GPS,GPS,,GPS,GPS,,X,X,,X,GPS,,GPS
119,X,X,GPS,,GPS,GPS,,GPS,X,,X,GPS,,GPS
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
123,GPS,GPS,X,,X,X,,X,X,,X,GPS,,GPS
124,,,,,,,,,,,,,,
125,GPS,GPS,X,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
126,,,,,,,,,,,,,,
127,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
128,GPS,GPS,X,,GPS,X,,GPS,X,,GPS,GPS,,GPS
129,X,GPS,X,,X,GPS,,GPS,GPS,,GPS,GPS,,GPS
130,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
131,GPS,X,GPS,,X,Ex,,X,X,,X,X,,X
132,,,,,,,,,,,,,,
133,GPS,X,X,,GPS,X,,GPS,X,,GPS,X,,GPS
134,GPS,GPS,Ex,,X,X,,GPS,X,,X,GPS,,X
135,GPS,GPS,GPS,,GPS,X,,X,X,,X,X,,X
136,GPS,GPS,X,,GPS,GPS,,X,X,,X,X,,GPS
137,,,,,,,,,,,,,,
138,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
139,,,,,,,,,,,,,,
140,GPS,GPS,GPS,,GPS,X,,X,GPS,,X,X,,X
141,GPS,GPS,GPS,,GPS,X,,X,X,,GPS,X,,X
143,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
144,GPS,GPS,GPS,,X,GPS,,X,GPS,,GPS,GPS,,GPS
145,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
146,GPS,X,GPS,,X,GPS,,GPS,X,,X,X,,X
147,X,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
148,,,,,,,,,,,,,,
149,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
150,X,GPS,X,,GPS,GPS,,X,X,,X,X,,X
151,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
152,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
153,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,,GPS
154,X,X,X,,X,GPS,,GPS,X,,X,X,,GPS
155,GPS,GPS,GPS,,GPS,GPS,,X,GPS,,GPS,GPS,,GPS
156,,,,,,,,,,,,,,
157,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,X,GPS,,X
158,,,,,,,,,,,,,,
159,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
161,GPS,X,X,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
162,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,X,,GPS
163,GPS,GPS,X,,GPS,X,,GPS,X,,X,X,,X
